0.2083 ,237.2083 ,53,208,87,36,44,-0.10 
0.4583 ,237.4583 ,59,62,93,36,50,-0.10 
0.6250 ,237.6250 ,60,61,93,36,56,-0.10 
0.6667 ,237.6667 ,58,60,91,36,51,-0.10 
0.7083 ,237.7083 ,57,61,91,36,48,-0.10 
0.7500 ,237.7500 ,55,60,92,36,45,-0.20 
0.8333 ,237.8333 ,57,59,91,36,44,-0.10 
0.8750 ,237.8750 ,54,58,91,36,44,-0.10 
0.9583 ,237.9583 ,54,60,91,36,44,-0.10 
1.0833 ,238.0833 ,52,60,90,36,44,-0.10 
1.1667 ,238.1667 ,54,61,90,36,44,-0.10 
1.2500 ,238.2500 ,53,61,90,36,44,-0.10 
1.3750 ,238.3750 ,54,60,90,36,44,-0.10 
1.5000 ,238.5000 ,53,60,90,36,44,-0.10 
1.7917 ,238.7917 ,55,59,88,36,44,-0.10 
1.9167 ,238.9167 ,56,60,89,36,44,-0.10 
2.0000 ,239.0000 ,51,59,88,36,44,-0.10 
2.2500 ,239.2500 ,53,62,88,36,44,-0.10 
2.3750 ,239.3750 ,59,64,92,36,44,-0.10 
2.5833 ,239.5833 ,52,61,83,36,44,-0.20 
2.7500 ,239.7500 ,53,60,80,36,44,-0.10 
2.9583 ,239.9583 ,51,60,82,36,44,-0.10 
3.4167 ,240.4167 ,51,63,83,36,44,-0.10 
3.5417 ,240.5417 ,50,62,84,36,44,-0.10 
3.5833 ,240.5833 ,51,61,83,36,44,-0.10 
3.8750 ,240.8750 ,51,61,89,36,44,-0.10 
4.4167 ,241.4167 ,54,63,92,36,44,-0.10 
4.5000 ,241.5000 ,38,64,92,36,43,-0.20 
4.5417 ,241.5417 ,38,63,93,36,43,-0.10 
4.5833 ,241.5833 ,37,65,92,37,43,-0.10 
4.6250 ,241.6250 ,37,64,92,37,43,-0.10 
4.6667 ,241.6667 ,37,63,93,37,43,-0.10 
4.7500 ,241.7500 ,37,63,91,36,43,-0.10 
4.7917 ,241.7917 ,38,64,93,36,43,-0.10 
4.8750 ,241.8750 ,38,67,92,36,43,-0.10 
