DAT,WL_Flume (m3/hour),WL_Flume_OUT (m3/hour),Solar (W/m2),Precipitation (mm),WindSpeed (m/s),RH (%),delta PD (mm)
168.6666667,0.008892475,0,457,0,1.13,43,-0.1
168.7083333,0.008892475,0,454,0,2.16,48.4,-0.1
168.75,0.008892475,0,147,0,1.6,50.2,0
168.7916667,0.008892475,0,42,0,1.29,53.1,-0.1
168.8333333,0.008892475,0,6,0,0.31,64.9,-0.1
168.875,0.008892475,0,0,0,0.21,77.5,-0.1
168.9166667,0.005644961,0,0,0,0.21,83.2,-0.1
168.9583333,0.008892475,0,0,0,0.29,86.3,0
169,0.013055782,0,0,0,0.29,87.8,-0.1
169.0416667,0.013055782,0,0,0,0.24,89,0
169.0833333,0.008892475,0,0,0,0.19,90.2,0
169.125,0.008892475,0,0,0,0.2,92.1,-0.1
169.1666667,0.008892475,0,0,0,0.15,93.1,-0.1
169.2083333,0.008892475,0,0,0,0.18,94,0
169.25,0.008892475,0,14,0,0.22,95.1,0
169.2916667,0.008892475,0,81,0,0.37,95.4,-0.1
169.3333333,0.008892475,0,245,0,0.75,89.3,0
169.375,0.008892475,0,393,0,0.52,77.1,0
169.4166667,0.005644961,0,464,0,0.7,64.7,0
169.4583333,0.005644961,0,326,0,0.5,61.2,0
169.5,0.005644961,0,405,0,0.48,60.1,-0.1
169.5416667,0.005644961,0,491,0,1.09,59,0
169.5833333,0.005644961,0,430,0,1.16,55.5,0
169.625,0.005644961,0,332,0,1.44,63.7,-0.1
169.6666667,0.005644961,0,206,0,0.92,72.6,0
169.7083333,0.005644961,0,145,0,0.84,74,0
169.75,0.005644961,0,90,0,1.14,73.3,-0.1
169.7916667,0.005644961,0,43,0,0.8,75,0
169.8333333,0.008892475,0,4,0,0.63,78.9,-0.1
169.875,0.005644961,0,0,0,0.42,83.3,0
169.9166667,0.008892475,0,0,0.17,0.19,90.2,0
169.9583333,0.005644961,0,0,0.051,0.25,93.5,-0.1
170,0.008892475,0,0,0.613,0.25,95,0
170.0416667,0.008892475,0,0,0.919,0.34,95.4,0.1
170.0833333,0.008892475,0,0,1.072,0.4,95.4,0.1
170.125,0.008892475,0,0,1.481,0.61,96.4,0.1
170.1666667,0.008892475,0,0,1.651,0.84,97.2,0.2
170.2083333,0.008892475,0,0,0.494,0.66,96.7,0
170.25,0.008892475,0,1,1.902,0.48,96.7,0.2
170.2916667,0.008892475,0,13,1.8,0.3,97.5,0.1
170.3333333,0.013055782,0.000573605,27,3.962,0.35,98.3,0.4
170.375,0.031719426,0.003235803,29,2.617,0.46,97.6,0.2
170.4166667,0.008892475,0.008892475,56,4.081,0.48,98.4,0.4
170.4583333,0.008892475,0.013055782,131,1.26,0.4,99.5,0.1
170.5,0.005644961,0.024406441,68,1.515,0.33,98.7,0.1
170.5416667,0.003235803,0.031719426,120,3.162,0.28,99.1,0.3
170.5833333,0.008892475,0.086847586,74,5.864,0.45,98.8,0.6
170.625,0.005644961,0.372122673,98,3.877,0.4,99.2,0.3
170.6666667,0.005644961,0.705707007,79,2.311,0.24,99.3,0.2
170.7083333,0.003235803,1.695966395,56,3.962,0.37,98.5,0.3
170.75,0.003235803,3.226011378,27,5.609,0.3,97.8,0.4
170.7916667,0.001578469,4.28564367,19,3.826,0.4,97.9,0
170.8333333,0.001578469,3.348856576,5,0.562,0.33,97.6,-0.2
170.875,0.001578469,2.048334347,0,0.017,0.35,96.8,-0.2
170.9166667,0.003235803,1.534284402,0,0.017,0.44,95.1,-0.2
