DAT,WL_Flume (m3/hour),WL_Flume_OUT (m3/hour),Solar (W/m2),Precipitation (mm),WindSpeed (m/s),RH (%),delta PD (mm)
183.75,0,0,132,0.017,0.55,75.1,-0.1
183.7916667,0,0,33,0,0.87,77,0
183.8333333,0,0,6,0.017,0.9,78.4,-0.1
183.875,0,0,0,0,0.44,85.3,-0.1
183.9166667,0,0,0,0.017,0.32,90.7,-0.1
183.9583333,0,0,0,0,0.22,93.2,0
184,0,0,0,0.017,0.25,94.4,-0.1
184.0416667,0,0,0,0,0.13,95.2,0
184.0833333,0,0,0,0.017,0.18,95.1,0
184.125,0,0,0,0,0.22,96.3,-0.1
184.1666667,0,0,0,0,0.26,96.5,0
184.2083333,0,0,0,0,0.27,96.8,0
184.25,0,0,7,0,0.29,97,-0.1
184.2916667,0,0,115,0,0.45,99.3,0
184.3333333,0,0,220,0.017,0.5,96.7,-0.1
184.375,0,0,351,0,0.65,89.5,0
184.4166667,0,0,467,0,0.9,81,0
184.4583333,0,0,305,0,0.68,77.5,0
184.5,0,0,354,0,0.61,77.9,0
184.5416667,0,0,317,0,0.61,77.1,0
184.5833333,0,0,336,0.017,0.51,76.5,0
184.625,0,0,218,0,0.92,76.1,0
184.6666667,0,0,432,0,1.12,75.7,-0.1
184.7083333,0,0,333,0,1.05,72.3,0
184.75,0,0,138,0,1,73,0
184.7916667,0,0,63,0,1,75,-0.1
184.8333333,0,0,8,0,0.41,82.3,0
184.875,0,0,0,0,0.22,87.4,-0.1
184.9166667,0,0,0,0.017,0.31,90.3,0
184.9583333,0,0,0,0,0.24,92,-0.1
185,0,0,0,0,0.26,92.9,0
185.0416667,0,0,0,0,0.23,92.8,-0.1
185.0833333,0,0,0,0,0.21,92.8,0
185.125,0,0,0,0,0.21,93.8,0
185.1666667,0,0,0,0,0.22,94.1,-0.1
185.2083333,0,0,0,0.017,0.25,94.4,0
185.25,0,0,5,0,0.16,94.7,-0.1
185.2916667,0,0,30,0,0.29,94.7,0
185.3333333,0,0,68,0,0.38,93.3,0
185.375,0,0,94,0,0.46,89,0
185.4166667,0,0,94,0,0.37,89.6,0
185.4583333,0,0,88,0,0.49,93,0
185.5,0,0,141,0.017,0.37,95.5,0.1
185.5416667,0,0,221,0,0.32,97.4,0.1
185.5833333,0,0,236,0,0.35,96.2,0
185.625,0,0,181,0,0.27,92.7,0
185.6666667,0,0,68,0.017,0.27,89.9,0
185.7083333,0,0,46,1.749,0.25,89.7,0
185.75,0,0,25,3.757,0.35,89.2,-0.1
185.7916667,0,0,13,1.072,0.4,91.1,0
185.8333333,0,0,0,0.426,0.63,93.2,0.2
185.875,0,0,0,0.323,0.52,94.9,0.4
185.9166667,0,0,0,0.204,0.47,94.9,0.1
185.9583333,0,0,0,0.153,0.45,94.5,0.1
186,0,0,0,0.136,0.31,94.3,0
186.0416667,0,0,0,0.102,0.37,94,0
186.0833333,0,0,0,0.102,0.43,91.6,0
186.125,0,0,0,0.102,0.42,90.9,0
186.1666667,0,0,0,0.102,0.29,92.8,-0.1
186.2083333,0,0,0,0.102,0.32,94.4,0
186.25,0,0,5,0.119,0.3,95.2,-0.1
186.2916667,0,0,56,0.136,0.59,95.7,0
186.3333333,0,0,149,4.183,0.53,93.5,0
186.375,0,0,294,5.051,0.29,91.2,0
186.4166667,0,0,557,0.494,0.49,86.1,0
186.4583333,0,0,600,0,1.28,78.5,0
186.5,0,0,390,0,1.07,76.4,0
186.5416667,0,0,386,0,0.73,74.7,-0.1
186.5833333,0,0,422,0,0.26,72.8,0
186.625,0,0,266,0,0.56,68.8,0
186.6666667,0,0,213,0,0.85,73.8,0
186.7083333,0,0,86,0,1.15,75.9,0
186.75,0,0,50,0,1.02,76.4,-0.1
186.7916667,0,0,27,0,0.74,77.8,0
186.8333333,0,0,4,0,0.8,80.8,-0.1
186.875,0,0,0,0,0.53,83.7,0
186.9166667,0,0,0,0,0.37,87.4,-0.1
186.9583333,0,0,0,0,0.22,90.3,-0.1
187,0,0,0,0,0.25,93,0
187.0416667,0,0,0,0,0.3,94.2,0
187.0833333,0,0,0,0,0.21,94.4,-0.1
187.125,0,0,0,0,0.38,95.2,0
187.1666667,0,0,0,0,0.26,95.6,0
187.2083333,0,0,0,0,0.24,95.9,0
187.25,0,0,8,0,0.24,96.1,-0.1
187.2916667,0,0,70,0,0.33,97.2,0
187.3333333,0,0,206,0,0.4,95.7,0
187.375,0,0,183,0,0.65,89,0
187.4166667,0,0,260,0,0.62,88.4,0
187.4583333,0,0,353,0,1.34,87.2,-0.1
187.5,0,0,344,0,0.9,84.5,0
187.5416667,0,0,479,0,1.13,80.1,0
187.5833333,0,0,544,0,1.27,76.4,0
187.625,0,0,348,0,1.44,73.9,0
187.6666667,0,0,345,0,1.66,73.4,0
187.7083333,0,0,182,0,1.35,74.5,-0.1
187.75,0,0,135,0,1.17,76.5,0
187.7916667,0,0,55,0,0.58,77.5,0
187.8333333,0,0,12,0,0.26,81.5,-0.1
187.875,0,0,0,0,0.25,87.6,0
187.9166667,0,0,0,0,0.26,90.9,-0.1
187.9583333,0,0,0,0,0.24,92.8,0
188,0,0,0,0,0.18,93.4,-0.1
188.0416667,0,0,0,0,0.21,93.7,0
188.0833333,0,0,0,0,0.2,93.7,-0.1
188.125,0,0,0,0,0.19,94.6,0
188.1666667,0,0,0,0,0.23,94.7,0
188.2083333,0,0,0,0,0.29,94.8,-0.1
188.25,0,0,5,0,0.34,94.2,0
188.2916667,0,0,25,0,0.29,93.3,0
188.3333333,0,0,49,0,0.27,92,0
188.375,0,0,81,0,0.24,91.1,0
188.4166667,0,0,119,0,0.28,90.1,0
188.4583333,0,0,158,0,0.35,88.6,-0.1
188.5,0,0,91,0,0.31,87.6,0
188.5416667,0,0,126,0,0.72,88.8,0
188.5833333,0,0,147,0,0.58,91.7,0
188.625,0,0,92,0,0.85,90.4,0
188.6666667,0,0,84,0,0.36,90.2,0
188.7083333,0,0,60,0,0.36,90.5,-0.1
188.75,0,0,58,0,0.61,91.7,0
188.7916667,0,0,15,0,0.62,90.9,0
188.8333333,0,0,6,0,0.64,92.3,0
188.875,0,0,0,0,0.37,94.3,0
188.9166667,0,0,0,0,0.66,94.8,0
188.9583333,0,0,0,0,0.59,95.4,-0.1
189,0,0,0,0,0.43,96.2,0
189.0416667,0,0,0,0,0.57,96.4,0
189.0833333,0,0,0,0,0.6,96,0
189.125,0,0,0,0,0.44,96.4,-0.1
189.1666667,0,0,0,0,0.71,94.9,0
189.2083333,0,0,0,0,0.57,93.8,0
189.25,0,0,9,0,0.38,95.2,0
189.2916667,0,0,48,0,0.41,96.8,0
189.3333333,0,0,145,0,0.47,97,-0.1
189.375,0,0,347,0,1,93.4,0
189.4166667,0,0,489,0,0.52,87.5,0
189.4583333,0,0,777,0,0.72,79,0.1
189.5,0,0,943,0,0.94,71.7,0
189.5416667,0,0,760,0,1.47,72.7,0
189.5833333,0,0,753,0,1.12,74.8,0
189.625,0,0,713,0,1.26,77,0
189.6666667,0,0,475,0,1.75,79.5,0
189.7083333,0,0,371,0,1.91,80.5,0
189.75,0,0,136,0,1.36,82.8,-0.1
189.7916667,0,0,48,0,0.98,85.9,-0.2
189.8333333,0,0,7,0,0.8,87.3,-0.1
189.875,0,0,0,0,0.65,88.2,-0.1
189.9166667,0,0,0,0,0.68,88.8,-0.1
189.9583333,0,0,0,0,0.6,89.7,-0.1
190,0,0,0,0,0.43,92,-0.1
190.0416667,0,0,0,0,0.27,93.7,-0.1
190.0833333,0,0,0,0,0.23,94.1,0
190.125,0,0,0,0,0.25,95,-0.1
190.1666667,0,0,0,0,0.31,95.2,0
190.2083333,0,0,0,0,0.32,95.8,-0.1
190.25,0,0,6,0,0.25,96,0
190.2916667,0,0,42,0,0.41,98.1,0
190.3333333,0,0,114,0,0.29,98.6,-0.1
190.375,0,0,455,0,0.84,95.9,0
190.4166667,0,0,671,0,0.69,82.9,0
190.4583333,0,0,822,0,0.82,70.6,0
190.5,0,0,826,0,1.24,63.7,0
190.5416667,0,0,773,0,0.84,61.3,0
190.5833333,0,0,533,0,1.51,65.6,0
190.625,0,0,497,0,1.21,66.9,-0.1
190.6666667,0,0,481,0,1.14,69.4,0
190.7083333,0,0,305,0,1.36,69.2,-0.1
190.75,0,0,108,0,1.11,70.5,-0.2
190.7916667,0,0,50,0,0.71,73.1,-0.1
190.8333333,0,0,6,0,0.46,80.2,-0.2
190.875,0,0,0,0,0.29,85.9,-0.1
190.9166667,0,0,0,0,0.32,86.3,-0.2
190.9583333,0,0,0,0,0.37,87.2,-0.2
191,0,0,0,0,0.26,89.5,0
191.0416667,0,0,0,0,0.22,91.8,-0.1
191.0833333,0,0,0,0,0.27,92.9,-0.1
191.125,0,0,0,0,0.26,94.6,-0.1
191.1666667,0,0,0,0,0.17,95,-0.1
191.2083333,0,0,0,0,0.16,95.2,-0.1
191.25,0,0,8,0,0.16,96.2,-0.1
191.2916667,0,0,38,0,0.35,97,0
191.3333333,0,0,70,0,0.46,96,-0.1
191.375,0,0,138,0,0.22,94.6,0
191.4166667,0,0,294,0,0.42,91.9,-0.1
191.4583333,0,0,413,0,0.69,86.1,0
191.5,0,0,302,0,0.56,83,0
191.5416667,0,0,475,0,0.65,81.9,-0.1
191.5833333,0,0,207,0,1.53,78.9,-0.1
191.625,0,0,177,0,1.5,77.7,0
191.6666667,0,0,47,0.136,1.58,78.7,-0.1
191.7083333,0,0,34,1.447,0.91,88.7,0.2
191.75,0,0,25,0.664,0.27,93.7,0
191.7916667,0,0,11,0,0.31,93.7,0
191.8333333,0,0,1,0.017,0.27,94.6,-0.1
191.875,0,0,0,1.072,0.36,95.5,0.2
191.9166667,0,0,0,0.255,0.35,95.6,0.1
191.9583333,0,0,0,0.272,0.34,95.8,0
192,0,0,0,0.017,0.35,96.2,0
192.0416667,0,0,0,0.017,0.47,96.4,0
192.0833333,0,0,0,0.017,0.41,95.9,0
192.125,0,0,0,8.498,0.38,96.6,0.8
192.1666667,0,0,0,11.494,0.37,96.9,1
192.2083333,0,0,0,5.932,0.45,97.3,0.6
192.25,0,0,0,6.136,0.57,97.2,0.7
192.2916667,0,0,0,7.021,0.71,96.4,0.8
192.3333333,0,0,3,6.664,0.66,97.4,2.6
192.375,0,1.239087133,12,8.281,0.86,98,1.3
192.4166667,0,1.309419334,48,7.243,0.78,98,0
192.4583333,0,0.809179451,95,1.902,0.73,98.3,-0.2
192.5,0,0.482630463,212,0,0.83,98.6,-0.1
192.5416667,0,0.250386064,394,0,0.62,96,-0.1
192.5833333,0,0.118458266,666,0,1.17,87.8,-0.1
192.625,0,0.049905276,541,0,1.44,83.8,-0.1
192.6666667,0,0.031719426,448,0,0.69,83.3,0
192.7083333,0,0.013055782,265,0,0.93,82.1,-0.1
192.75,0,0.001578469,136,0,1.15,82.2,0
192.7916667,0,0.000573605,40,0,0.81,83.2,-0.1
192.8333333,0,0,7,0,0.59,87.1,0
192.875,0,0,0,0,0.92,89.8,0
192.9166667,0,0,0,0,1.05,90.1,-0.1
192.9583333,0,0,0,0,0.69,91.8,-0.1
193,0,0,0,0,0.47,93.6,0
193.0416667,0,0,0,0,0.9,93.7,-0.1
193.0833333,0,0,0,0,0.83,93.2,0
193.125,0,0,0,0,0.29,95.3,0
193.1666667,0,0,0,0,0.42,95.7,-0.1
193.2083333,0,0,0,0,0.46,96,0
193.25,0,0,4,0,0.44,96.4,-0.1
193.2916667,0,0,29,0,0.45,96.8,0
193.3333333,0,0,77,0,0.43,96.7,0
193.375,0,0,115,0,0.47,94.2,-0.1
193.4166667,0,0,314,0,0.53,92.9,0
193.4583333,0,0,520,0,0.67,87.5,-0.1
193.5,0,0,431,0,1.23,83.7,0.1
193.5416667,0,0,513,0,1.47,81.8,-0.1
193.5833333,0,0,566,0,1.44,80.1,0
193.625,0,0,358,0,0.82,81.8,-0.1
193.6666667,0,0,275,0,0.91,81.4,0
193.7083333,0,0,200,0,0.78,84.3,0
193.75,0,0,108,0,0.71,84.1,0
193.7916667,0,0,59,0,0.64,86.3,-0.1
193.8333333,0,0,5,0,0.47,87.4,0
193.875,0,0,0,0,0.51,88.5,-0.1
193.9166667,0,0,0,0,0.51,88.2,-0.1
193.9583333,0,0,0,0,0.37,88.4,0
194,0,0,0,0,0.25,88.5,-0.1
194.0416667,0,0,0,0,0.61,90.8,0
194.0833333,0,0,0,0,0.26,91.1,-0.1
194.125,0,0,0,0,0.26,92.1,0
194.1666667,0,0,0,0,0.42,92.4,-0.1
194.2083333,0,0,0,0,0.26,92.9,0
194.25,0,0,2,0,0.18,93.6,0
194.2916667,0,0,33,0,0.22,93.6,-0.1
194.3333333,0,0,57,0,0.36,91.1,0
194.375,0,0,49,0,0.56,89.4,0
194.4166667,0,0,82,0,0.54,90.9,0
194.4583333,0,0,117,0.017,0.93,89.8,-0.1
194.5,0,0,91,1.651,0.8,92,0.2
194.5416667,0,0,145,1.685,0.84,94.9,0.1
194.5833333,0,0,131,0.919,0.88,95.2,0.1
194.625,0,0,73,1.583,0.75,94.3,0.1
194.6666667,0,0,94,3.672,0.77,96.5,0.4
194.7083333,0,0,46,2.277,0.72,95.7,0.3
194.75,0,0.17718292,17,2.804,0.48,95.8,0.7
194.7916667,0,1.105224745,6,2.804,0.35,96.2,0.6
194.8333333,0,4.004087751,1,2.583,0.43,96.6,0.8
194.875,0,4.882878358,0,2.6,0.69,97.3,0
194.9166667,0,3.867515338,0,2.481,0.47,97.5,-0.3
194.9583333,0,3.733723535,0,2.447,0.59,97.6,0.1
195,0,4.430661516,0,2.26,0.72,97,0
195.0416667,0,3.348856576,0,2.14,0.54,97.4,-0.2
195.0833333,0,2.440448814,0,2.021,0.54,96.9,-0.2
195.125,0,3.348856576,0,1.919,0.61,97.6,0.3
195.1666667,0,4.578528666,0,1.8,0.58,98,0.3
195.2083333,0,4.882878358,0,1.715,0.7,97.8,0.1
195.25,0,5.526505952,0,1.6,0.54,97.7,0.3
195.2916667,0,6.040306007,1,1.43,0.58,97.7,0.1
195.3333333,0,6.040306007,1,1.328,0.65,98.3,0.1
195.375,0,6.397881422,14,1.209,0.7,99.3,0.2
195.4166667,0,6.040306007,29,1.123,0.8,99.7,-0.5
195.4583333,0,4.882878358,71,1.174,0.77,99,-0.3
195.5,0,3.867515338,122,1.191,0.86,99.9,-0.3
195.5416667,0,2.761369442,128,1.191,0.9,99.7,-0.2
195.5833333,0,2.440448814,112,1.038,0.96,99.3,0
195.625,0,1.867261809,47,0.834,0.91,98.1,-0.2
195.6666667,0,1.309419334,34,0.783,0.93,97.6,-0.1
195.7083333,0,0.864069729,46,0.732,0.88,98,-0.2
195.75,0,0.864069729,36,0.647,0.87,98,-0.1
195.7916667,0,0.864069729,19,0.562,0.77,97.6,-0.1
195.8333333,0,0.705707007,3,0.391,0.83,97.5,0
195.875,0,0.610486405,0,0.255,0.77,97.5,-0.1
195.9166667,0,0.523282206,0,0.306,0.76,97.7,0
195.9583333,0,0.407086596,0,0.289,0.88,97.8,0
196,0,0.407086596,0,0.272,0.87,97.8,-0.1
196.0416667,0,0.3077043,0,0.255,1,97.9,0
196.0833333,0,0.250386064,0,0.255,0.91,97.5,0
196.125,0,0.224316711,0,0.238,0.77,98.1,0
196.1666667,0,0.199927219,0,0.221,0.8,98,-0.1
196.2083333,0,0.177187306,0,0.238,0.84,98.4,0
196.25,0,0.118458266,5,0.221,0.81,98.4,0
196.2916667,0,0.10192578,90,0.221,0.93,99.4,-0.1
196.3333333,0,0.060882517,191,0.204,1.59,99.3,0
196.375,0,0.031719426,214,0.187,1.01,96.9,-0.1
196.4166667,0,0.018205417,312,0.187,0.84,96.6,0
196.4583333,0,0.008892475,336,0.204,1.02,91,-0.1
196.5,0,0.005644961,390,0.187,1.15,89.1,0
196.5416667,0,0.003235803,243,0.204,0.57,89.5,0
196.5833333,0,0.001578469,118,0.17,0.72,87.3,0
196.625,0,0.001578469,73,0.17,0.78,91.3,0.1
196.6666667,0,0.001578469,53,0.153,0.69,94.3,0
196.7083333,0,0.001578469,35,0.17,0.48,94.2,-0.1
196.75,0,0.001578469,17,0.153,1.22,93.7,0
196.7916667,0,0.001578469,9,0.17,0.61,95.3,0
196.8333333,0,0.003235803,1,0.153,0.47,96.1,0.1
196.875,0,0.003235803,0,0.153,0.49,95.9,0
196.9166667,0,0.008892475,0,0.153,0.39,96.6,0
196.9583333,0,0.018205417,0,0.153,0.37,97.2,0.1
197,0,0.031719426,0,0.153,0.42,97.6,0
197.0416667,0,0.031719426,0,0.153,0.39,97.6,-0.1
197.0833333,0,0.031719426,0,0.153,0.35,96.9,0
197.125,0,0.024406441,0,0.153,0.36,97.7,0
197.1666667,0,0.08685046,0,0.153,0.4,97.5,0
197.2083333,0,0.008892475,0,0.153,0.43,97.8,-0.1
197.25,0,0.008892475,1,0.153,0.37,97.6,0
197.2916667,0,0.005644961,10,0.136,0.36,98.2,0
197.3333333,0,0.003235803,35,0.136,0.49,98.6,0
197.375,0,0.003235803,79,0.136,0.7,99,0
197.4166667,0,0.005644961,124,0.136,0.86,98.7,0
197.4583333,0,0.008892475,151,0.136,0.83,98,0.1
197.5,0,0.008892475,139,0.119,0.84,97.4,0
197.5416667,0,0.031719426,118,0.119,0.68,97.6,0.1
197.5833333,0,0.040201175,159,0.119,0.37,98.7,0.1
197.625,0,0.031719426,193,0.119,1.1,98.5,0
197.6666667,0,0.024406441,119,0.119,0.57,97.7,-0.1
197.7083333,0,0.024406441,86,0.119,0.52,96.6,0
197.75,0,0.013055782,41,0.102,0.54,95.6,0
197.7916667,0,0.013055782,19,0.102,0.27,96,-0.1
197.8333333,0,0.005644961,3,0.119,0.33,95.8,0
197.875,0,0.005644961,0,0.119,0.3,95.6,-0.1
197.9166667,0,0.003235803,0,0.119,0.25,96.7,0
197.9583333,0,0.001578469,0,0.119,0.36,97.3,-0.1
198,0,0.000573605,0,0.119,0.61,97.4,0
198.0416667,0,0.000101543,0,0.136,0.49,97.1,-0.1
198.0833333,0,0,0,0.119,0.47,96.5,0
198.125,0,0,0,0.221,0.34,96.9,0
198.1666667,0,0,0,0.221,0.36,97.1,-0.1
198.2083333,0,0,0,0.187,0.31,97.1,0
198.25,0,0,3,0.17,0.34,97.6,0
198.2916667,0,0,34,0.136,0.37,98.3,-0.1
198.3333333,0,0,64,0.119,0.44,97.7,0
198.375,0,0,270,0.119,0.58,97.5,-0.1
198.4166667,0,0,417,0.119,0.98,94.4,0
198.4583333,0,0,724,0.136,1.37,89.2,0
198.5416667,0,0,956,0.596,1.05,75.2,-0.3
198.5833333,0,0,828,0.8,0.99,71.3,-0.1
198.625,0,0,767,0.885,0.98,66.3,-0.1
198.6666667,0,0,642,0.783,1.33,64.9,0
198.7083333,0,0,471,0.715,1.03,69.5,-0.1
198.75,0,0,103,0.562,1.2,73.3,-0.1
198.7916667,0,0,31,0.511,1.25,75.7,0
198.8333333,0,0,6,0.374,0.78,80.7,-0.1
198.875,0,0,0,0.426,0.37,86.6,0
198.9166667,0,0,0,0.306,0.29,91.2,-0.1
198.9583333,0,0,0,0.409,0.21,93.6,-0.1
199,0,0,0,0.272,0.16,94.5,0
199.0416667,0,0,0,0.272,0.23,95.2,-0.1
199.0833333,0,0,0,0.272,0.33,95.1,0
199.125,0,0,0,0.323,0.26,95.7,0
199.1666667,0,0,0,0.238,0.21,95.6,-0.1
199.2083333,0,0,0,0.238,0.19,95.7,0
199.25,0,0,2,0.238,0.25,95.7,-0.1
199.2916667,0,0,22,0.272,0.18,96,0
199.3333333,0,0,86,0.238,0.3,95.1,0
199.375,0,0,168,0.289,0.2,93.1,-0.1
199.4166667,0,0,270,0.528,0.39,89,0
199.4583333,0,0,436,0.46,0.36,86,0
199.5,0,0,791,0.749,1.01,80.9,-0.1
199.5416667,0,0,872,0.766,1.21,76.5,-0.1
199.5833333,0,0,877,0.749,0.5,72.4,0
199.625,0,0,761,0.664,1.04,68,-0.2
199.6666667,0,0,620,0.919,0.92,71.7,0
199.7083333,0,0,449,0.732,0.64,74.4,-0.1
199.75,0,0,118,0.204,1.28,73.3,0
199.7916667,0,0,36,0.119,1.55,75.1,-0.1
199.8333333,0,0,4,0.119,0.79,80.6,0
199.875,0,0,0,0.102,0.39,86,-0.1
199.9166667,0,0,0,0.119,0.2,90.6,0
199.9583333,0,0,0,0.119,0.22,93,-0.1
200,0,0,0,0.102,0.19,93.8,0
200.0416667,0,0,0,0.102,0.28,94.7,-0.1
200.0833333,0,0,0,0.119,0.14,94.6,0
200.125,0,0,0,0.102,0.18,94.9,0
200.1666667,0,0,0,0.102,0.23,94.4,-0.1
200.2083333,0,0,0,0.102,0.24,94.6,0
200.25,0,0,4,0.102,0.23,94.8,0
200.2916667,0,0,49,0.102,0.27,95.2,0
200.3333333,0,0,195,0.119,0.65,93.1,-0.1
200.375,0,0,224,0.102,0.79,89,0
200.4166667,0,0,198,0.119,0.57,86.9,0
200.4583333,0,0,281,0.119,0.89,85,-0.1
200.5,0,0,505,0.136,1.09,81,0
200.5416667,0,0,363,0.136,0.6,80.9,-0.1
200.5833333,0,0,347,0.136,0.92,78.2,0
200.625,0,0,236,0.119,0.66,77.3,0
200.6666667,0,0,211,0.136,0.93,79,-0.1
200.7083333,0,0,113,0.102,0.54,79.9,-0.1
200.75,0,0,93,0.119,0.34,82.4,0
200.7916667,0,0,56,0.102,0.53,81,0
200.8333333,0,0,4,0.119,0.41,84.7,-0.1
200.875,0,0,0,0.085,0.3,88.5,0
200.9166667,0,0,0,0.102,0.21,91,-0.1
200.9583333,0,0,0,0.085,0.16,92.7,0
201,0,0,0,0.085,0.16,93.4,0
201.0416667,0,0,0,0.085,0.18,93.8,0
201.0833333,0,0,0,0.085,0.24,94,-0.1
201.125,0,0,0,0.085,0.31,94.8,0
201.1666667,0,0,0,0.068,0.33,94.3,-0.1
201.2083333,0,0,0,0.085,0.38,93.7,0
201.25,0,0,1,0.068,0.25,93.9,0
201.2916667,0,0,10,0.068,0.29,94.3,0
201.3333333,0,0,28,0.085,0.25,96,0
201.375,0,0,27,0.085,0.34,95.9,0.1
201.4166667,0,0,51,0.085,0.27,96.9,0
201.4583333,0,0,57,0.085,0.33,97.1,0.1
201.5,0,0,86,0.102,0.36,97.2,0.3
201.5416667,0,0,138,0.102,0.39,97.5,0.2
201.5833333,0,0,108,0.102,0.3,96.3,0.1
201.625,0,0,115,0.102,0.35,95.4,0
201.6666667,0,0,74,0.085,0.27,94.7,0.1
201.7083333,0,0,75,0.085,0.36,95.4,0
201.75,0,0,62,0.102,0.32,95.7,0
201.7916667,0,0,46,0.102,0.76,94.6,0
201.8333333,0,0,2,0.102,0.6,95,0
201.875,0,0,0,0.119,0.85,94.7,0
201.9166667,0,0,0,0.119,0.92,94.7,0
201.9583333,0,0,0,0.119,0.84,94.7,0
202,0,0,0,0.119,0.75,94.6,-0.1
202.0416667,0,0,0,0.119,0.84,93.5,0
202.0833333,0,0,0,0.119,1.28,91.7,0
202.125,0,0,0,0.119,1.52,91.6,0.1
202.1666667,0,0,0,0.102,1.17,92.8,0
202.2083333,0,0,0,0.119,1.32,91.5,0
202.25,0,0,0,0.136,1.36,87.9,0
202.2916667,0,0,8,0.119,1.51,86,-0.1
202.3333333,0,0,35,0.119,2.43,84.5,0
202.375,0,0,60,0.119,1.77,87.7,0
202.4166667,0,0,215,0.136,1.7,91.9,0
202.4583333,0,0,365,0.136,1.91,90.7,0
202.5,0,0,214,0.136,1.55,88.8,0
202.5416667,0,0,292,0.119,1.61,87.6,-0.1
202.5833333,0,0,719,0.119,1.84,85.4,0
202.625,0,0,511,0.119,1.58,86.2,-0.1
202.6666667,0,0,397,0.102,1.6,82.3,0
202.7083333,0,0,193,0.102,1.78,79.1,0
202.75,0,0,107,0.102,1.54,78.8,-0.1
202.7916667,0,0,27,0.085,0.68,81.9,-0.1
202.8333333,0,0,7,0.085,0.7,84.8,0
202.875,0,0,0,0.102,0.74,85.3,0
202.9166667,0,0,0,0.085,1.01,87.6,-0.1
202.9583333,0,0,0,0.068,1.01,89.1,0
203,0,0,0,0.085,0.71,88.3,-0.1
203.0416667,0,0,0,0.085,0.5,88.6,0
203.0833333,0,0,0,0.204,0.69,93.5,0.2
203.125,0,0,0,0.102,0.64,96,0.5
203.1666667,0,0,0,0.085,0.52,95.7,0.3
203.2083333,0,0,0,0.102,0.46,96.2,0
203.25,0,0,3,0.085,0.47,96.6,0
203.2916667,0,0,75,0.085,0.55,99.1,-0.1
203.3333333,0,0,240,0.102,0.44,98.4,0.1
203.375,0,0,380,0.102,0.59,93.7,-0.1
203.4166667,0,0,287,0.085,0.39,90.4,0
203.4583333,0,0,599,0.085,0.73,88.1,-0.1
203.5,0,0,451,0.085,0.69,85.4,0
203.5416667,0,0,585,0.085,1.01,82.5,-0.1
203.5833333,0,0,457,0.085,1.18,79.3,-0.1
203.625,0,0,464,0.085,1.22,78.3,0
203.6666667,0,0,464,0.085,1.28,79,-0.1
203.7083333,0,0,158,0.085,0.96,77.4,0
203.75,0,0,130,0.085,0.83,80,-0.1
203.7916667,0,0,30,0.085,0.61,80.1,0
203.8333333,0,0,2,0.068,0.41,84.2,0
203.875,0,0,0,0.068,0.53,87,-0.1
203.9166667,0,0,0,0.085,0.71,88.1,0
203.9583333,0,0,0,0.068,0.49,88.7,0
204,0,0,0,0.085,0.38,90.1,-0.1
204.0416667,0,0,0,0.085,0.57,89.4,0
204.0833333,0,0,0,0.068,0.34,92.3,0
204.125,0,0,0,0.085,0.39,95,0.2
204.1666667,0,0,0,0.085,0.47,95.7,1
204.2083333,0,0,0,0.102,0.33,96.4,0.1
204.25,0,0,0,0.102,0.51,96.7,-0.1
204.2916667,0,0,7,0.085,0.46,96.6,0
204.3333333,0,0,23,0.102,0.62,96.9,0.6
204.375,0,0,120,0.085,0.68,98.1,0
204.4166667,0,0,148,0.102,0.6,97.3,0
204.4583333,0,0,186,0.085,0.47,96.2,0
204.5,0,0,147,0.085,0.53,94.3,0
204.5416667,0,0,97,0.068,0.42,95.3,0.3
204.5833333,0,0,114,0.068,0.61,96.3,0.5
204.625,0,0,180,0.085,1.31,96.9,0.1
204.6666667,0,0,115,0.068,0.98,95.4,0
204.7083333,0,0,114,0.085,0.78,95.6,0
204.75,0,0,70,0.085,0.59,95.3,0
204.7916667,0,0,18,0.068,0.64,94.4,0
204.8333333,0,0,1,0.085,0.47,95.2,-0.1
204.875,0,0,0,0.068,0.42,95.9,0
204.9166667,0,0,0,0.085,0.46,96.1,0
204.9583333,0,0,0,0.085,0.5,96.5,-0.1
205,0,0,0,0.085,0.53,96.6,0
205.0416667,0,0,0,0.085,0.5,97,0
205.0833333,0,0,0,0.085,0.51,96.4,0
205.125,0,0,0,0.085,0.56,97.2,-0.1
205.1666667,0,0,0,0.085,0.59,96.9,0
205.2083333,0,0,0,0.068,0.64,97.3,0
205.25,0,0,1,0.085,0.92,97.3,0.2
205.2916667,0,0,14,0.085,0.77,97.4,0.1
205.3333333,0,0,21,0.085,0.6,97.9,0.2
205.375,0,0,36,0.068,0.57,98.1,0
205.4166667,0,0,46,0.085,0.74,99,0
205.4583333,0,0.000101543,41,0.068,0.75,97.9,0.2
205.5,0,0.073181235,91,0.085,1.74,98.3,0.4
205.5416667,0,1.78040211,55,0.068,1.24,96.7,0.6
205.5833333,0,2.440448814,72,0.068,1.57,96.3,0.1
205.625,0,2.440448814,49,0.085,1.32,95.7,0.1
205.6666667,0,2.142587255,34,0.068,1.07,95.6,-0.1
205.7083333,0,3.348856576,23,0.068,0.44,97.6,0.2
205.75,0,3.348856576,13,0.068,0.4,97.5,0
205.7916667,0.000573605,9.707417435,6,0.068,0.89,97.6,1.7
205.8333333,0,7.149704112,0,0.068,0.63,98.1,-1.1
