DAT,WL_Flume (m3/hour),WL_Flume_OUT (m3/hour),Solar (W/m2),Precipitation (mm),WindSpeed (m/s),AirTemp (DegC),RH (%),delta PD (mm)
251.25,15.33651386,2.440448814,0,0.000,1.01,20.8,93.6 ,0.5
251.2916667,13.29119072,2.873555587,1,0.017,1.06,21.0,92.0 ,0.1
251.3333333,13.85797583,3.867515338,15,0.017,1.29,21.1,93.4 ,0.2
251.375,13.01302449,2.544834826,65,0.017,1.55,22.2,88.2 ,-0.4
251.4166667,12.73832499,2.048334347,133,0.017,2.29,21.1,91.2 ,-0.2
251.4583333,11.93489392,1.382048443,246,0.000,2.71,19.6,88.8 ,-0.2
251.5,11.16218066,0.921095488,261,0.017,2.04,21.5,82.8 ,-0.1
251.5416667,10.41981455,0.705707007,332,0.017,2.76,22.6,76.3 ,-0.3
251.5833333,14.73447926,0.443905671,620,0.017,3.07,23.9,74.2 ,-0.1
251.625,14.73447926,0.307698217,476,0.017,3.96,23.6,76.2 ,-0.2
251.6666667,14.73447926,0.224316711,256,0.017,4.09,22.3,80.9 ,0
251.7083333,14.43878427,0.17718292,196,0.000,3.55,23.1,78.5 ,-0.1
251.75,14.14662071,0.136485904,37,0.017,3.03,23.3,75.5 ,-0.1
251.7916667,13.85797583,0.118458266,3,0.017,2.06,23.1,74.9 ,0
251.8333333,13.57283682,0.086847586,0,0.017,2.01,22.9,72.6 ,-0.1
251.875,13.01302449,0.060882517,0,0.000,2.54,22.7,72.5 ,-0.1
251.9166667,13.01302449,0.049905276,0,0.017,2.99,22.7,75.5 ,-0.1
251.9583333,12.46707898,0.040201175,0,0.017,3.39,22.7,76.7 ,0
252,11.93489392,0.024406441,0,0.000,3.35,22.7,77.9 ,0
252.0416667,9.248945418,0.024406441,0,0.017,3.13,22.5,79.1 ,-0.1
252.0833333,9.024603873,0.018205417,0,0.017,3.34,22.3,80.1 ,-0.1
252.125,8.80350583,0.013055782,0,0.017,3.55,22.3,81.7 ,0.1
252.1666667,8.15952517,0.008892475,0,0.000,4.12,22.3,82.3 ,-0.1
252.2083333,8.15952517,0.008892475,0,0.000,3.52,22.4,81.4 ,0
252.25,7.746150231,0.008892475,0,0.000,3.82,22.5,80.5 ,-0.1
252.2916667,17.55669338,0.005644961,26,0.017,3.93,22.6,80.5 ,0
252.3333333,16.58350797,0.005644961,146,0.000,3.35,23.0,81.0 ,0
252.375,16.58350797,0.005644961,305,0.017,3.68,23.7,80.2 ,0
252.4166667,15.64287839,0.005644961,493,0.017,3.23,24.8,78.7 ,-0.1
252.4583333,16.26636333,0.005644961,584,0.000,3.03,25.9,75.6 ,0
252.5,16.26636333,0.005644961,373,0.017,3.05,26.1,72.5 ,0
252.5416667,15.33651386,0.005644961,361,0.017,2.74,26.4,72.3 ,0
252.5833333,13.85797583,0.005644961,515,0.017,3.06,27.4,70.3 ,0
252.625,13.85797583,0.005644961,276,0.000,2.07,26.9,73.6 ,0.1
252.6666667,13.85797583,0.005644961,375,0.017,1.81,25.3,85.5 ,0.1
252.7083333,18.90546041,0.005644961,242,0.017,2.45,26.8,75.9 ,0.1
252.75,18.56275026,0.005644961,81,0.017,1.92,26.3,76.1 ,0
252.7916667,18.90546041,0.005644961,23,0.000,1.63,25.2,79.9 ,0
252.8333333,18.56275026,0.005644961,0,0.017,1.31,24.0,85.4 ,0.1
252.875,17.55669338,0.005644961,0,0.017,0.98,22.6,90.0 ,0
252.9166667,17.22866124,0.005644961,0,0.000,1.12,22.2,90.9 ,0
252.9583333,17.22866124,0.008892475,0,0.017,0.96,21.4,92.7 ,0
253,17.22866124,0.008892475,0,0.000,0.93,20.9,93.6 ,0
253.0416667,17.22866124,0.008892475,0,0.017,0.90,20.6,94.5 ,0.1
253.0833333,16.90427,0.008892475,0,0.017,0.90,20.6,93.9 ,0
253.125,16.90427,0.008892475,0,0.000,0.85,20.5,95.1 ,0
253.1666667,16.90427,0.008892475,0,0.017,0.92,20.5,95.2 ,0
253.2083333,16.58350797,0.013055782,0,0.017,0.81,20.4,95.8 ,0
253.25,16.58350797,0.013055782,0,0.000,0.73,20.4,96.1 ,0
253.2916667,16.58350797,0.024406441,1,0.017,1.01,20.5,96.1 ,0.1
253.3333333,16.26636333,2.048334347,4,0.000,1.34,18.9,98.7 ,1
253.375,16.26636333,1.456996282,50,0.017,0.87,18.9,97.5 ,-0.2
253.4166667,16.26636333,1.04164945,270,0.017,1.17,19.3,99.8 ,-0.1
253.4583333,15.95282416,0.705707007,485,0.017,1.00,20.6,99.8 ,-0.1
253.5,15.95282416,0.610477288,592,0.017,1.83,22.9,90.1 ,-0.1
253.5416667,15.95282416,0.443905671,618,0.000,1.80,25.0,69.9 ,-0.1
253.5833333,15.95282416,0.339005737,408,0.017,2.22,25.8,65.5 ,-0.1
253.625,15.95282416,0.307698217,280,0.017,1.57,25.0,72.8 ,-0.1
253.6666667,15.95282416,0.307698217,417,0.017,1.87,25.9,70.8 ,0
253.7083333,15.95282416,0.250386064,313,0.000,1.77,26.4,66.7 ,0
253.75,15.95282416,0.199927219,91,0.017,1.96,25.2,68.5 ,-0.1
253.7916667,15.95282416,0.156048097,11,0.017,1.51,23.4,77.5 ,0
253.8333333,15.95282416,0.136485904,0,0.000,1.20,21.9,85.9 ,0
253.875,15.95282416,0.118458266,0,0.017,1.25,22.1,86.7 ,0
253.9166667,15.64287839,0.10192578,0,0.017,1.08,21.3,90.1 ,0
253.9583333,15.64287839,0.10192578,0,0.000,1.19,20.9,91.7 ,0
254,15.33651386,0.073181235,0,0.017,0.94,20.8,92.6 ,-0.1
254.0416667,15.33651386,0.073181235,0,0.017,1.42,21.0,93.1 ,0
254.0833333,15.33651386,0.372122673,0,0.000,1.13,20.8,93.5 ,0.5
254.125,15.33651386,0.523282206,0,0.017,1.21,19.6,96.0 ,0
254.1666667,15.33651386,0.407079419,0,0.017,1.00,19.7,95.2 ,0
254.2083333,15.33651386,0.339005737,0,0.000,1.03,19.8,95.4 ,-0.1
254.25,15.03371828,0.278168971,0,0.017,0.92,19.7,95.6 ,0
254.2916667,15.03371828,0.250386064,23,0.017,0.83,19.4,96.3 ,-0.1
254.3333333,15.03371828,0.224316711,176,0.000,1.16,19.9,99.2 ,-0.1
254.375,15.03371828,0.199927219,212,0.017,1.02,21.0,98.1 ,0
