DAT,WL_Flume (m3/hour),WL_Flume_OUT (m3/hour),Solar (W/m2),Precipitation (mm),WindSpeed (m/s),AirTemp (DegC),RH (%),delta PD (mm)
164.7916667,0.024406441,0.156048097,42,0.000,1.23,24.2,84.9 ,-0.1
164.8333333,0.031719426,0.136485904,4,0.000,0.79,23.3,88.4 ,-0.1
164.875,0.031719426,0.136485904,0,0.000,0.60,22.8,90.5 ,-0.1
164.9166667,0.031719426,0.060882517,0,0.000,0.48,22.6,91.5 ,-0.1
164.9583333,0.040201175,0.049905276,0,1.766,0.72,22.6,92.4 ,0.2
165,0.031719426,1.78040211,0,12.681,0.40,22.2,95.5 ,1.1
165.0416667,0.031719426,4.28564367,0,7.821,0.38,21.9,97.3 ,0.4
165.0833333,0.040201175,7.149704112,0,8.651,0.33,22.0,97.0 ,0.4
165.125,0.031719426,7.544201246,0,5.762,0.41,21.8,98.5 ,0
165.1666667,0.031719426,9.476545093,0,13.209,0.55,21.2,98.3 ,0.5
165.2083333,0.024406441,9.248945418,0,3.519,0.62,20.8,98.6 ,-0.4
165.25,0.024406441,6.957125253,2,1.834,0.42,20.8,98.1 ,-0.4
165.2916667,0.024406441,5.039394383,21,1.294,0.28,20.8,98.5 ,-0.4
165.3333333,0.024406441,3.474411799,57,0.289,0.31,21.0,99.6 ,-0.2
165.375,0.018205417,2.440448814,95,0.017,0.41,21.3,99.9 ,-0.3
165.4166667,0.024406441,1.695966395,215,0.000,0.41,21.6,100.0 ,-0.1
165.4583333,0.024406441,1.171029737,325,0.000,0.29,22.3,99.2 ,-0.2
165.5,0.024406441,0.756400174,348,0.000,0.59,23.7,94.9 ,-0.1
165.5416667,0.018205417,0.565888725,326,0.000,1.06,24.5,92.2 ,0
165.5833333,0.024406441,0.372122673,256,0.000,0.90,24.7,90.9 ,-0.1
165.625,0.024406441,0.307698217,336,0.000,0.87,25.3,88.3 ,-0.1
165.6666667,0.024406441,0.250386064,59,0.000,1.27,24.1,90.9 ,-0.1
165.7083333,0.024406441,0.156048097,76,0.000,0.48,23.7,92.9 ,0
165.75,0.024406441,0.118458266,42,0.272,0.58,23.6,93.2 ,0
165.7916667,0.018205417,0.10192578,8,0.153,0.69,23.0,95.2 ,-0.1
165.8333333,0.013055782,0.086847586,1,0.017,0.39,22.9,96.0 ,0
165.875,0.013055782,0.073181235,0,0.255,0.82,22.9,96.0 ,-0.1
165.9166667,0.013055782,0.073181235,0,1.123,0.50,22.8,96.3 ,0.1
165.9583333,0.013055782,0.060882517,0,0.374,0.62,22.7,97.0 ,-0.1
166,0.013055782,0.040201175,0,0.323,0.93,22.6,97.1 ,0
166.0416667,0.013055782,0.040201175,0,0.000,1.89,24.0,92.8 ,0
166.0833333,0.013055782,0.031719426,0,0.153,2.10,24.5,90.4 ,-0.1
166.125,0.013055782,0.031719426,0,0.051,2.19,24.6,91.1 ,0.1
166.1666667,0.013055782,0.024406441,0,1.868,2.44,23.8,95.3 ,0.1
166.2083333,0.018205417,0.073181235,0,2.294,2.20,23.7,96.3 ,0.2
166.25,0.013055782,0.060882517,2,0.953,1.75,24.2,94.0 ,0
166.2916667,0.013055782,0.060882517,11,0.051,1.54,24.1,95.1 ,0
166.3333333,0.013055782,0.049905276,36,0.562,1.96,24.2,94.8 ,0
166.375,0.013055782,0.756400174,54,5.251,2.46,24.0,96.1 ,0.6
166.4166667,0.008892475,0.921095488,60,1.379,2.25,24.4,93.0 ,-0.1
166.4583333,0.008892475,1.382048443,143,3.349,1.95,23.9,95.5 ,0.2
166.5,0.008892475,1.309419334,240,0.238,1.70,24.1,96.5 ,-0.1
166.5416667,0.008892475,1.04164945,379,0.000,2.29,24.8,94.6 ,-0.1
166.5833333,0.005644961,0.864069729,205,0.000,1.56,25.6,90.9 ,-0.1
166.625,0.005644961,0.610477288,149,0.000,2.07,25.9,88.0 ,-0.1
166.6666667,0.005644961,0.443905671,293,0.000,1.91,26.7,84.9 ,-0.1
166.7083333,0.003235803,0.372122673,419,0.000,1.11,27.5,79.5 ,0
166.75,0.005644961,0.278168971,115,0.000,1.17,27.7,74.3 ,-0.1
166.7916667,0.005644961,0.224316711,62,0.000,0.89,26.9,74.0 ,-0.1
166.8333333,0.005644961,0.156048097,13,0.000,0.91,25.4,78.1 ,-0.1
166.875,0.005644961,0.10192578,0,0.000,1.43,24.8,76.0 ,0
166.9166667,0.008892475,0.073181235,0,0.000,0.81,23.4,79.3 ,-0.2
166.9583333,0.008892475,0.049905276,0,0.000,0.28,21.0,89.5 ,0
167,0.008892475,0.024406441,0,0.000,0.32,19.7,93.5 ,-0.1
167.0416667,0.008892475,0.018205417,0,0.000,0.25,19.1,95.6 ,0
167.0833333,0.005644961,0.031719426,0,0.000,0.21,18.6,95.9 ,-0.1
167.125,0.005644961,0.031719426,0,0.000,0.21,18.1,97.1 ,0
167.1666667,0.005644961,0.008892475,0,0.000,0.23,17.4,97.4 ,-0.1
167.2083333,0.008892475,0.008892475,0,0.000,0.26,16.9,97.9 ,-0.1
167.25,0.005644961,0.008892475,18,0.034,0.33,16.5,98.1 ,0
167.2916667,0.005644961,0.013055782,96,0.000,0.34,17.0,99.9 ,-0.1
167.3333333,0.005644961,0.008892475,290,0.017,0.36,18.5,99.9 ,0
167.375,0.013055782,0.008892475,474,0.000,0.32,22.2,88.1 ,0
167.4166667,0.003235803,0.008892475,644,0.000,0.86,23.8,76.5 ,-0.1
167.4583333,0.005644961,0.003235803,812,0.000,1.63,25.3,69.1 ,-0.1
167.5,0.005644961,0.001578469,785,0.000,1.76,26.6,60.0 ,0.1
167.5416667,0.008892475,0.001578469,881,0.000,1.49,27.4,51.5 ,-0.1
167.5833333,0.008892475,0.001578469,902,0.000,1.38,28.4,48.3 ,0
167.625,0.005644961,0.001578469,836,0.000,1.37,29.3,44.1 ,-0.1
167.6666667,0.005644961,0.001578469,683,0.000,1.59,29.5,43.9 ,-0.1
167.7083333,0.005644961,0.001578469,448,0.000,1.45,29.3,47.1 ,0
167.75,0.005644961,0.001578469,125,0.000,1.37,28.4,52.4 ,-0.1
167.7916667,0.003235803,0.001578469,33,0.000,1.25,27.6,56.9 ,-0.1
167.8333333,0.003235803,0.013055782,6,0.000,1.01,25.9,63.9 ,-0.1
167.875,0.005644961,0.003235803,0,0.000,0.25,23.2,79.0 ,0
167.9166667,0.005644961,0.003235803,0,0.000,0.23,21.7,85.5 ,-0.1
167.9583333,0.005644961,0.005644961,0,0.000,0.28,21.0,89.2 ,-0.1
168,0.008892475,0.008892475,0,0.000,0.20,20.1,91.2 ,0
168.0416667,0.013055782,0.008892475,0,0.000,0.31,19.3,92.8 ,-0.1
168.0833333,0.008892475,0.005644961,0,0.000,0.25,18.8,93.7 ,-0.1
168.125,0.008892475,0.005644961,0,0.000,0.21,18.4,94.3 ,0
168.1666667,0.008892475,0.005644961,0,0.000,0.34,18.1,94.7 ,-0.1
168.2083333,0.008892475,0.005644961,0,0.000,0.24,17.6,95.6 ,0
168.25,0.008892475,0.005644961,11,0.000,0.31,16.7,95.7 ,-0.1
168.2916667,0.005644961,0.003235803,172,0.000,0.36,17.6,97.9 ,0
168.3333333,0.005644961,0.001578469,365,0.000,0.46,20.3,87.7 ,0
168.375,5.86604693,0.000573605,560,0.000,0.48,23.4,71.2 ,0.4
168.4166667,0.018205417,0.008892475,736,0.000,0.83,25.6,56.0 ,0.3
168.4583333,0.013055782,0.008892475,874,0.000,0.95,27.0,49.0 ,-0.1
168.5,0.013055782,0.008892475,943,0.000,1.55,28.4,45.3 ,0
168.5416667,0.008892475,0.013055782,885,0.000,1.10,29.5,40.4 ,-0.1
168.5833333,0.008892475,0.018205417,847,0.000,0.88,30.5,32.6 ,0
168.625,0.008892475,0,758,0.000,1.38,30.6,35.0 ,-0.1
168.6666667,0.008892475,0,457,0.000,1.13,29.7,43.0 ,-0.1
168.7083333,0.008892475,0,454,0.000,2.16,27.2,48.4 ,-0.1
168.75,0.008892475,0,147,0.000,1.60,25.6,50.2 ,0
168.7916667,0.008892475,0,42,0.000,1.29,24.7,53.1 ,-0.1
168.8333333,0.008892475,0,6,0.000,0.31,23.1,64.9 ,-0.1
168.875,0.008892475,0,0,0.000,0.21,21.0,77.5 ,-0.1
168.9166667,0.005644961,0,0,0.000,0.21,20.1,83.2 ,-0.1
168.9583333,0.008892475,0,0,0.000,0.29,19.5,86.3 ,0
169,0.013055782,0,0,0.000,0.29,19.2,87.8 ,-0.1
169.0416667,0.013055782,0,0,0.000,0.24,18.9,89.0 ,0
169.0833333,0.008892475,0,0,0.000,0.19,18.4,90.2 ,0
169.125,0.008892475,0,0,0.000,0.20,17.6,92.1 ,-0.1
169.1666667,0.008892475,0,0,0.000,0.15,17.0,93.1 ,-0.1
169.2083333,0.008892475,0,0,0.000,0.18,16.6,94.0 ,0
169.25,0.008892475,0,14,0.000,0.22,16.3,95.1 ,0
169.2916667,0.008892475,0,81,0.000,0.37,16.8,95.4 ,-0.1
169.3333333,0.008892475,0,245,0.000,0.75,18.7,89.3 ,0
169.375,0.008892475,0,393,0.000,0.52,21.3,77.1 ,0
169.4166667,0.005644961,0,464,0.000,0.70,23.1,64.7 ,0
169.4583333,0.005644961,0,326,0.000,0.50,23.8,61.2 ,0
169.5,0.005644961,0,405,0.000,0.48,24.3,60.1 ,-0.1
169.5416667,0.005644961,0,491,0.000,1.09,25.1,59.0 ,0
169.5833333,0.005644961,0,430,0.000,1.16,25.5,55.5 ,0
169.625,0.005644961,0,332,0.000,1.44,25.0,63.7 ,-0.1
169.6666667,0.005644961,0,206,0.000,0.92,24.6,72.6 ,0
169.7083333,0.005644961,0,145,0.000,0.84,23.9,74.0 ,0
169.75,0.005644961,0,90,0.000,1.14,23.2,73.3 ,-0.1
169.7916667,0.005644961,0,43,0.000,0.80,22.7,75.0 ,0
169.8333333,0.008892475,0,4,0.000,0.63,22.2,78.9 ,-0.1
169.875,0.005644961,0,0,0.000,0.42,21.7,83.3 ,0
169.9166667,0.008892475,0,0,0.170,0.19,20.8,90.2 ,0
169.9583333,0.005644961,0,0,0.051,0.25,20.3,93.5 ,-0.1
170,0.008892475,0,0,0.613,0.25,20.2,95.0 ,0
170.0416667,0.008892475,0,0,0.919,0.34,19.7,95.4 ,0.1
170.0833333,0.008892475,0,0,1.072,0.40,19.3,95.4 ,0.1
170.125,0.008892475,0,0,1.481,0.61,18.9,96.4 ,0.1
170.1666667,0.008892475,0,0,1.651,0.84,18.3,97.2 ,0.2
170.2083333,0.008892475,0,0,0.494,0.66,17.5,96.7 ,0
170.25,0.008892475,0,1,1.902,0.48,17.1,96.7 ,0.2
170.2916667,0.008892475,0,13,1.800,0.30,17.3,97.5 ,0.1
170.3333333,0.013055782,0.000573605,27,3.962,0.35,17.1,98.3 ,0.4
170.375,0.031719426,0.003235803,29,2.617,0.46,16.8,97.6 ,0.2
170.4166667,0.008892475,0.008892475,56,4.081,0.48,16.8,98.4 ,0.4
170.4583333,0.008892475,0.013055782,131,1.260,0.40,17.1,99.5 ,0.1
170.5,0.005644961,0.024406441,68,1.515,0.33,17.7,98.7 ,0.1
170.5416667,0.003235803,0.031719426,120,3.162,0.28,17.8,99.1 ,0.3
170.5833333,0.008892475,0.086847586,74,5.864,0.45,18.2,98.8 ,0.6
170.625,0.005644961,0.372122673,98,3.877,0.40,18.1,99.2 ,0.3
170.6666667,0.005644961,0.705707007,79,2.311,0.24,18.4,99.3 ,0.2
170.7083333,0.003235803,1.695966395,56,3.962,0.37,18.4,98.5 ,0.3
170.75,0.003235803,3.226011378,27,5.609,0.30,18.4,97.8 ,0.4
170.7916667,0.001578469,4.28564367,19,3.826,0.40,18.3,97.9 ,0
170.8333333,0.001578469,3.348856576,5,0.562,0.33,18.2,97.6 ,-0.2
170.875,0.001578469,2.048334347,0,0.017,0.35,17.9,96.8 ,-0.2
170.9166667,0.003235803,1.534284402,0,0.017,0.44,18.0,95.1 ,-0.2
170.9583333,0.001578469,1.105224745,0,0.238,0.51,18.1,94.5 ,-0.2
171,0.003235803,0.980280821,0,0.000,0.48,18.0,94.0 ,0
171.0416667,0.003235803,0.705707007,0,0.085,0.33,18.1,94.0 ,-0.1
171.0833333,0.003235803,0.610477288,0,1.089,0.38,18.0,94.6 ,0
171.125,0.003235803,0.657074634,0,0.970,0.42,17.8,96.6 ,0
171.1666667,0.003235803,0.523282206,0,0.051,0.30,17.8,96.9 ,-0.1
171.2083333,0.003235803,0.407079419,0,0.187,0.35,17.9,96.1 ,-0.1
171.25,0.003235803,0.278168971,5,0.034,0.32,17.9,96.2 ,0
171.2916667,0.003235803,0.250386064,34,0.051,0.41,18.1,95.7 ,-0.1
171.3333333,0.003235803,0.17718292,128,0.000,0.30,18.4,97.0 ,0
171.375,0.003235803,0.156048097,191,0.000,0.40,19.2,94.9 ,-0.1
171.4166667,0.523282206,0.001578469,396,0.000,0.36,20.5,93.0 ,0.1
171.4583333,0.372122673,0.001578469,632,0.000,0.61,22.8,80.3 ,-0.1
171.5,0.372122673,0.001578469,947,0.000,0.88,24.5,70.0 ,0.1
171.5416667,0.339005737,0.000573605,974,0.000,1.76,25.9,60.4 ,0
171.5833333,0.443905671,0.000573605,917,0.000,1.00,26.6,56.3 ,0
171.625,0.250386064,0.000573605,820,0.000,1.77,27.2,53.3 ,-0.1
171.6666667,0.17718292,0.000573605,649,0.000,1.49,27.7,49.9 ,0.1
171.7083333,0.224316711,0.000573605,432,0.000,1.03,27.9,49.3 ,-0.1
171.75,0.118458266,0.000573605,131,0.000,1.59,25.8,62.6 ,-0.1
171.7916667,0.136485904,0.000573605,55,0.000,1.23,23.7,72.7 ,-0.1
171.8333333,0.136485904,0.000101543,7,0.000,0.64,22.2,81.5 ,0
171.875,0.136485904,0.000101543,0,0.000,0.97,21.3,84.8 ,-0.1
171.9166667,0.10192578,0,0,0.000,0.88,20.6,87.5 ,-0.1
171.9583333,0.086847586,0,0,0.000,0.70,20.4,87.7 ,0
172,0.086847586,0,0,0.000,0.30,19.6,91.1 ,-0.1
172.0416667,0.073181235,0,0,0.000,0.33,19.7,91.7 ,0
172.0833333,0.10192578,0,0,0.000,0.22,20.0,91.1 ,0
172.125,0.073181235,0,0,0.000,0.15,20.1,92.1 ,-0.1
172.1666667,0.060882517,0,0,0.000,0.29,20.1,92.8 ,0
172.2083333,0.060882517,0,0,0.000,0.23,20.1,93.5 ,0
172.25,0.049905276,0,4,0.000,0.25,20.1,93.8 ,-0.1
172.2916667,0.040201175,0,25,0.000,0.39,20.3,93.9 ,0
172.3333333,0.040201175,0,53,0.000,0.64,20.3,93.6 ,-0.1
172.375,0.049905276,0,133,0.000,0.66,20.4,93.8 ,0
172.4166667,0.040201175,0,253,0.000,0.72,21.1,92.9 ,0
172.4583333,0.031719426,0,241,0.000,0.99,21.7,89.5 ,0
172.5,0.031719426,0,479,0.000,0.80,22.6,84.9 ,-0.1
172.5416667,0.031719426,0,662,0.000,0.88,24.5,75.8 ,0.1
172.5833333,0.031719426,0,757,0.000,1.20,25.6,69.1 ,-0.1
172.625,0.118458266,0,768,0.000,1.41,26.3,67.4 ,0.1
172.6666667,0.060882517,0,549,0.000,1.25,26.4,67.5 ,-0.1
172.7083333,0.060882517,0,422,0.000,1.08,26.2,70.0 ,0
172.75,0.060882517,0,118,0.000,0.74,25.9,72.0 ,0
172.7916667,0.060882517,0,44,0.000,0.90,24.3,75.0 ,-0.1
172.8333333,0.060882517,0,9,0.000,0.80,22.7,79.2 ,-0.1
172.875,0.040201175,0,0,0.000,0.73,21.4,83.1 ,-0.1
172.9166667,0.049905276,0,0,0.000,0.25,20.3,89.1 ,-0.1
172.9583333,0.049905276,0,0,0.000,0.33,19.7,91.3 ,0
173,0.10192578,0,0,0.000,0.20,18.8,93.7 ,0
173.0416667,0.136485904,0,0,0.000,0.31,18.6,94.6 ,-0.1
173.0833333,0.10192578,0,0,0.000,0.29,19.1,94.1 ,0
173.125,0.136485904,0,0,0.000,0.29,19.4,94.0 ,0
173.1666667,0.118458266,0,0,0.000,0.43,19.5,94.1 ,-0.1
173.2083333,0.118458266,0,0,0.000,0.48,19.5,92.0 ,0
173.25,0.118458266,0,5,0.000,0.28,19.4,89.6 ,-0.1
173.2916667,0.10192578,0,38,0.000,0.34,19.5,90.4 ,0.1
173.3333333,0.10192578,0,146,0.000,0.64,20.3,91.4 ,0
173.375,0.073181235,0,466,0.000,1.32,22.0,89.1 ,0
173.4166667,0.073181235,0,693,0.000,2.23,23.2,83.1 ,-0.1
173.4583333,0.086847586,0,774,0.000,1.69,24.7,76.7 ,0.1
173.5,0.086847586,0,947,0.000,2.20,25.9,71.0 ,0
173.5416667,0.086847586,0,670,0.000,1.33,26.7,65.8 ,-0.1
173.5833333,0.060882517,0,756,0.000,1.66,26.7,65.4 ,0
173.625,0.073181235,0,735,0.000,1.65,26.4,64.0 ,-0.1
173.6666667,4.28564367,0,647,0.000,1.54,26.8,63.2 ,0.1
173.7083333,4.729262015,0,362,0.000,1.59,25.9,64.9 ,0.3
173.75,4.882878358,0,69,0.000,1.17,24.7,67.5 ,0.2
173.7916667,5.039394383,0,38,0.000,1.58,24.0,68.3 ,0.1
173.8333333,4.882878358,0,9,0.000,0.99,22.8,71.7 ,0.3
173.875,4.729262015,0,0,0.000,0.31,21.1,81.2 ,0.3
173.9166667,4.882878358,0,0,0.000,0.20,19.6,88.0 ,0.2
173.9583333,4.882878358,0,0,0.000,0.21,18.8,91.5 ,0.2
174,4.729262015,0,0,0.000,0.21,18.0,93.3 ,0.3
174.0416667,4.882878358,0.000101543,0,0.000,0.11,17.4,94.6 ,0.2
174.0833333,4.882878358,0.018205417,0,0.000,0.20,16.9,94.7 ,0.2
174.125,4.882878358,0.136485904,0,0.000,0.23,16.5,95.9 ,0.3
174.1666667,4.729262015,0.482630463,0,0.000,0.27,16.3,96.4 ,0.2
174.2083333,4.729262015,0.980280821,0,0.000,0.43,16.6,98.0 ,0.1
174.25,4.729262015,1.456996282,7,0.000,0.54,16.9,98.1 ,0.2
174.2916667,4.578528666,1.867261809,46,0.034,0.33,17.3,99.4 ,0.1
174.3333333,4.430661516,2.048334347,99,0.000,0.53,17.9,100.0 ,0.1
174.375,4.578528666,2.544834826,384,0.000,0.61,19.7,98.1 ,0
174.4166667,4.430661516,2.651802085,705,0.000,0.61,22.9,80.9 ,0
174.4583333,4.578528666,2.873555587,838,0.000,0.74,25.4,68.3 ,0.2
174.5,0.024406441,2.440448814,927,0.000,1.25,26.7,61.4 ,-0.2
174.5416667,0.018205417,1.613934093,948,0.000,1.37,27.6,58.7 ,-0.2
174.5833333,0.018205417,1.239087133,913,0.000,1.49,27.9,59.5 ,-0.1
174.625,0.018205417,0.756400174,820,0.000,1.33,27.9,61.7 ,-0.1
174.6666667,0.018205417,0.482630463,682,0.000,1.11,27.8,61.5 ,-0.2
174.7083333,0.018205417,0.307698217,502,0.000,1.08,27.7,61.6 ,-0.1
174.75,0.018205417,0.199927219,115,0.000,1.34,27.2,60.8 ,0
174.7916667,0.018205417,0.136485904,29,0.000,1.51,26.1,62.1 ,-0.2
174.8333333,0.018205417,0.086847586,8,0.000,1.14,24.6,69.0 ,-0.1
174.875,0.013055782,0.073181235,0,0.000,0.31,22.3,82.4 ,0
174.9166667,0.013055782,0.040201175,0,0.000,0.21,20.7,88.6 ,-0.1
174.9583333,0.013055782,0.031719426,0,0.000,0.22,19.8,91.4 ,-0.1
175,0.013055782,0.018205417,0,0.000,0.19,19.0,93.0 ,-0.1
175.0416667,0.013055782,0.013055782,0,0.000,0.19,18.2,94.1 ,-0.1
175.0833333,0.013055782,0.013055782,0,0.000,0.15,17.7,94.6 ,-0.1
175.125,0.013055782,0.008892475,0,0.000,0.17,17.1,96.1 ,0
175.1666667,0.013055782,0.005644961,0,0.000,0.20,16.6,96.2 ,-0.1
175.2083333,0.013055782,0.003235803,0,0.017,0.26,16.2,96.6 ,-0.1
175.25,0.008892475,0.001578469,13,0.034,0.24,15.9,97.2 ,0
175.2916667,0.008892475,0.000573605,88,0.017,0.55,16.4,99.5 ,-0.1
175.3333333,0.005644961,0.000573605,191,0.000,0.45,17.9,99.9 ,0
175.375,0.005644961,0.000573605,466,0.000,0.71,20.6,97.5 ,0
175.4166667,0.005644961,0.000101543,713,0.000,0.69,24.2,80.4 ,-0.1
175.4583333,0.005644961,0,857,0.000,1.07,26.3,68.4 ,0.1
175.5,0.003235803,0,950,0.000,1.36,27.3,63.0 ,0
175.5416667,0.005644961,0,984,0.000,1.45,27.6,53.5 ,-0.1
175.5833333,0.003235803,0,954,0.000,1.65,28.3,47.1 ,0
175.625,0.003235803,0,825,0.000,1.76,28.4,47.0 ,-0.1
175.6666667,0.003235803,0,574,0.000,1.29,28.3,49.0 ,0
175.7083333,0.003235803,0,329,0.000,1.25,27.9,52.4 ,-0.1
175.75,0.005644961,0,129,0.000,0.72,26.6,55.2 ,-0.1
175.7916667,0.005644961,0,49,0.000,0.64,25.3,60.5 ,0
175.8333333,0.005644961,0,7,0.000,0.28,23.8,69.0 ,-0.1
175.875,0.008892475,0,0,0.000,0.22,22.4,76.1 ,-0.1
175.9166667,0.008892475,0,0,0.000,0.29,21.4,82.4 ,-0.1
175.9583333,0.008892475,0,0,0.000,0.20,20.5,86.1 ,-0.1
176,0.008892475,0,0,0.000,0.29,19.6,89.4 ,0
176.0416667,0.005644961,0,0,0.000,0.24,19.1,91.3 ,-0.1
176.0833333,0.005644961,0,0,0.000,0.20,19.0,91.7 ,0
