0.2083,237.2083,0,21.9,97,-0.1
0.4583,237.4583,113,22.3,100,-0.1
0.625,237.625,152,22.8,100,-0.1
0.6667,237.6667,141,23.3,100,-0.1
0.7083,237.7083,123,23.6,99,-0.1
0.75,237.75,42,23.7,97,-0.2
0.8333,237.8333,0,23.1,100,-0.1
0.875,237.875,0,23.0,100,-0.1
0.9583,237.9583,0,22.9,100,-0.1
1.0833,238.0833,0,22.7,99,-0.1
1.1667,238.1667,0,22.4,100,-0.1
1.25,238.25,0,22.2,100,-0.1
1.375,238.375,44,22.8,100,-0.1
1.5,238.5,294,24.3,100,-0.1
1.7917,238.7917,39,24.6,95,-0.1
1.9167,238.9167,0,22.8,98,-0.1
2,239,0,21.3,100,-0.1
2.25,239.25,0,21.2,100,-0.1
2.375,239.375,31,21.7,100,-0.1
2.5833,239.5833,111,23.3,96,-0.2
2.75,239.75,56,23.2,86,-0.1
2.9583,239.9583,0,19.5,100,-0.1
3.4167,240.4167,625,23.6,91,-0.1
3.5417,240.5417,928,27.6,61,-0.1
3.5833,240.5833,850,28.9,55,-0.1
3.875,240.875,0,19.8,89,-0.1
4.4167,241.4167,336,20.8,91,-0.1
4.5,241.5,726,25.7,76,-0.2
4.5417,241.5417,663,26.7,68,-0.1
4.5833,241.5833,855,28.0,60,-0.1
4.625,241.625,565,28.1,57,-0.1
4.6667,241.6667,389,27.6,64,-0.1
4.75,241.75,125,27.2,71,-0.1
4.7917,241.7917,27,25.1,80,-0.1
4.875,241.875,0,20.9,94,-0.1
4.9167,241.9167,0,20.0,97,-0.1
5,242,0,19.7,100,-0.1
5.0833,242.0833,0,19.2,99,-0.1
5.1667,242.1667,0,18.8,100,-0.1
5.2917,242.2917,21,18.4,100,-0.1
6.5833,243.5833,107,20.4,100,-0.2
6.625,243.625,122,20.7,100,-0.1
6.6667,243.6667,74,21.0,100,-0.1
6.75,243.75,19,21.0,100,-0.1
7,244,0,20.2,100,-0.1
7.125,244.125,0,20.3,100,-0.1
7.1667,244.1667,0,20.4,100,-0.1
7.375,244.375,6,20.2,100,-0.1
7.4167,244.4167,24,20.4,100,-0.7
7.5,244.5,165,21.0,100,-0.8
7.5417,244.5417,195,21.6,100,-0.7
7.5833,244.5833,251,22.0,100,-0.4
7.625,244.625,241,23.4,100,-0.4
7.6667,244.6667,142,23.8,100,-0.3
7.7083,244.7083,102,23.8,100,-0.2
7.75,244.75,31,23.3,100,-0.2
7.7917,244.7917,8,23.1,100,-0.2
7.8333,244.8333,0,22.7,100,-0.2
7.875,244.875,0,22.5,100,-0.1
7.9167,244.9167,0,22.5,100,-0.1
7.9583,244.9583,0,22.4,100,-0.1
8.0417,245.0417,0,22.2,100,-0.1
8.0833,245.0833,0,22.1,99,-0.1
8.1667,245.1667,0,21.9,100,-0.2
8.2083,245.2083,0,22.0,100,-0.1
8.25,245.25,0,22.0,100,-0.2
8.2917,245.2917,8,22.0,100,-0.1
8.3333,245.3333,21,22.3,100,-0.1
8.375,245.375,56,22.6,100,-0.1
8.4583,245.4583,63,23.2,100,-0.1
8.5417,245.5417,113,23.7,100,-0.2
8.625,245.625,119,24.5,100,-0.2
8.7083,245.7083,68,24.6,100,-0.1
8.7917,245.7917,13,24.6,100,-0.1
